"Yazar", "Alıntı"
"Mary Morrissey", "Korkunuzun inancınızdan daha büyük olmasına izin verdiğinizde hayalinizi engellersiniz."
"Aristotle", "Mutluluk kendimize bağlıdır."
"Albert Schweitzer", "Bir insan nereye dönerse dönsün, ona ihtiyacı olan birini bulabilir."
"Maya Angelou", "Eğer şanslıysanız, tek bir hayal bir milyon gerçeği tamamen değiştirebilir."
"Leo Buscaglia", "Asla başkalarını idealize etmeyin. Asla beklentilerinizi karşılayamayacaklardır."
"Lao Tzu", "Hiçbir şeyin eksik olmadığını fark ettiğinizde, tüm dünya size ait olur."
"Dalai Lama", "Mutluluk hazır bir şey değildir. Kendi eylemlerinizden gelir."
"Peter Elbow", "Anlam, ne ile başladığınız değil, ne ile bitirdiğinizdir."
"Anne Frank", "Hiç kimse vererek fakir olmamıştır."
"Rahibe Teresa", "Küçük şeylerde sadık olun çünkü gücünüz onlarda yatar."
"Herakleitos", "Her şey akıştır; hiçbir şey sabit kalmaz."
"Leonardo da Vinci", "Bir yıldıza sabitlenen kişi fikrini değiştirmez."
"Marcus Aurelius", "Kendisiyle uyum içinde yaşayan, evrenle de uyum içinde yaşar."
"Sophokles", "Cahil insanlar, ellerinde tuttukları iyiliğin ne olduğunu, onu fırlatıp atana kadar bilmezler."
"Albert Einstein", "Çözüm basit olduğunda, Tanrı cevap verir."
"Napoleon Hill", "Tüm başarıların, kazanılan tüm zenginliklerin başlangıcı bir fikirdir."
"Publilius Syrus", "Tam hedefe varmışken geri dönmeyin."
"Byron Pulsifer", "Risk almadan güvenemezsiniz ama bir kozanın içinde de yaşayamazsınız."
"Rudolf Arnheim", "Tüm algılamalar aynı zamanda düşünmedir, tüm akıl yürütmeler aynı zamanda sezgidir, tüm gözlemler aynı zamanda icattır."
"Channing", "Hata, içinden geçerek ilerlediğimiz bir disiplindir."
"Pearl Buck", "Gerçek her zaman heyecan vericidir. Konuş o zaman. Onsuz hayat sıkıcıdır."
"Konfüçyüs", "Üstün insan konuşmasında alçakgönüllüdür, ama eylemlerinde üstündür."
"Voltaire", "Talihsizliklerimiz üzerinde ne kadar uzun süre durursak, bize zarar verme güçleri o kadar artar."
"Cervantes", "Kedilerle oynayanlar tırmalanmayı beklemelidir."
"", "Güzel olmayan gülümseyen bir yüz hiç görmedim."
"Aristo", "Doğadaki her şeyde harikulade bir şey vardır."
"Marcus Aurelius", "Evren dönüşümdür; hayatımız düşüncelerimizin onu oluşturduğu şeydir."
"Samuel Johnson", "Hafıza tüm bilgeliğin anasıdır."
"Konfüçyüs", "Sessizlik, asla ihanet etmeyen gerçek dosttur."
"Napoleon Hill", "Kendinizden başka hiçbir şeyin size başarı getiremeyeceğini unutmamalısınız."
"Benjamin Franklin", "Küçük şeylere dikkat edin; küçük bir sızıntı büyük bir gemiyi batırır."
"William Shakespeare", "Tanrı sana bir yüz vermiş, sen kendine başka bir yüz yap."
"Konfüçyüs", "Hatırlamaya devam etmedikçe haksızlığa uğramak hiçbir şeydir."
"", "İyilik en büyük bilgeliktir."
"Tehyi Hsieh", "Eylem, teorinin çözemediği şüpheleri ortadan kaldıracaktır."
"", "O altın küpü ararken gökkuşağının tüm güzel renklerini kaçırmayın."
"Napoleon Hill", "Büyük fırsatınız şu anda bulunduğunuz yerde olabilir."
"Çin Atasözü", "Yapılamaz diyenler, yapanları engellememelidir."
"Japon Atasözü", "Yapmaya karar verdiğiniz gün şanslı gününüzdür."
"Cicero", "Her hatanın aptalca olduğunu söylememeliyiz."
"George Patton", "Zorlukları kabul edin ki zaferin coşkusunu hissedebilesiniz."
"Anatole France", "Az anlamak, çok yanlış anlamaktan daha iyidir."
"", "Suya düşerek boğulmazsınız. Orada kalarak boğulursun."
"", "Denemekten asla korkma, unutma... Amatörler gemiyi, profesyoneller Titanik'i inşa etti."
"Johann Wolfgang von Goethe", "Düzeltme çok şey yapar, ama cesaretlendirme daha fazlasını yapar."
"Epictetus", "Önce kim olduğunuzu bilin, sonra kendinizi ona göre süsleyin."
"Oprah Winfrey", "Atılabileceğiniz en büyük macera, hayallerinizdeki hayatı yaşamaktır."
"Charles Swindoll", "Hayat, başınıza gelenlerin %10'u ve sizin ona nasıl tepki verdiğinizin %90'ıdır."
"Cynthia Ozick", "Olunabilecek şey olmayı istemek, yaşamın amacıdır."
"Dalai Lama", "Bazen istediğinizi elde edememenin harika bir şans olduğunu unutmayın."
"Winston Churchill", "Tarih bana karşı nazik olacak çünkü onu yazmaya niyetliyim."
"Wayne Dyer", "Hayatlarımız yaptığımız seçimlerin bir toplamıdır."
"Leonardo da Vinci", "Zaman, onu kullanacak olan herkes için yeterince uzun kalır."
"", "Ayda ayak izleri varken bana asla gökyüzünün sınırı olduğunu söyleme."
"Denis Waitley", "Değişimi kural olarak kabul etmelisiniz ama hükümdarınız olarak değil."
"Jim Rohn", "Her ne yapıyorsanız ve kiminle olursanız olun, dikkatinizi ona verin."
"Lena Horne", "Her zaman sizi işe alan insanlardan daha zeki olun."
"Tom Peters", "Başarının formülü: az söz verip çok iş yapmak."
"Henri Bergson", "Göz sadece zihnin kavramaya hazır olduğu şeyi görür."
"Lee Mildon", "Büyük bir gülümseme takınırsanız insanlar eski kıyafetleri nadiren fark eder."
"Shakti Gawain", "İçinizde ne kadar çok ışığa izin verirseniz, yaşadığınız dünya o kadar parlak olacaktır."
"Walter Anderson", "Hiçbir şey kaygıyı eylemden daha hızlı azaltamaz."
"Andre Gide", "İnsan, kıyıyı gözden kaybetme cesaretine sahip olmadıkça yeni okyanuslar keşfedemez."
"Carl Jung", "Başkaları hakkında bizi rahatsız eden her şey, bizi kendimiz hakkında bir anlayışa götürebilir."
"Sun Tzu", "Yapabileceğim her şeyi yapabilseydim ne yapardım hayal edebiliyor musunuz?"
"Benjamin Disraeli", "Cehalet asla bir soruyu çözmez."
"Paul Cezanne", "Kendi gücümüzün farkında olmak bizi mütevazı yapar."
"Konfüçyüs", "Mutlulukta ya da bilgelikte sabit kalmak isteyenler sık sık değişmelidir."
"Tom Krause", "Başarısızlık diye bir şey yoktur. Sadece deneyimler ve onlara verdiğiniz tepkiler vardır."
"Frank Tyger", "Geleceğiniz birçok şeye bağlıdır, ama en çok size."
"Dorothy Thompson", "Korku karanlıkta büyür; eğer etrafta bir öcü olduğunu düşünüyorsanız, ışığı açın."
"Shunryu Suzuki", "En önemli nokta kendinizi kabul etmek ve iki ayağınızın üzerinde durmaktır."
"Tomas Eliot", "Alışkanlık olarak gri-kahverengi gözlükler takıyorsanız, dünyanın parlak görünmesini beklemeyin."
"Donald Trump", "Düşünmeye devam ettiğiniz sürece, büyük düşünün."
"John Dewey", "Bazı hedefler ve ona ulaşmak için bazı çabalar olmadan, hiç kimse yaşayamaz."
"Richard Braunstein", "Elde edenin azı vardır. Dağınık olanın ise çok şeyi vardır."
"George Orwell", "İnanılan mitler gerçek olma eğilimindedir."
"Buddha", "Ayak yeri hissettiğinde ayağı hisseder."
"John Petit-Senn", "Sahip olduklarımız değil, zevk aldıklarımız bereketimizi oluşturur."
"George Eliot", "Olabileceğin şey olmak için asla geç değildir."
"Mary Wollstonecraft", "Başlangıç her zaman bugündür."
"Sheldon Kopp", "Uzun vadede, vermeyi göze aldığımızdan daha fazlasını elde edemeyiz."
"Ralph Emerson", "Kendine güven başarının ilk sırrıdır."
"Satchel Paige", "Arkana bakma. Bir şey sana yaklaşıyor olabilir."
"Marcus Aurelius", "Yükselen ve alçalan imparatorluklarıyla geçmişe bakarsanız, geleceği de öngörebilirsiniz."
"George Bernard Shaw", "Hata yaparak geçirilen bir hayat, hiçbir şey yapmadan geçirilen bir hayattan sadece daha onurlu değil, aynı zamanda daha yararlıdır."
"Epictetus", "İnsanlar olaylardan değil, olaylara bakış açılarından rahatsız olurlar."
"Blaise Pascal", "Hayal gücü her şeyi düzenler; bu dünyadaki her şey olan güzelliği, adaleti ve mutluluğu yaratır."
"Mark Twain", "Mutluluk bir İsveç gün batımıdır, herkes için oradadır, ama çoğumuz başka yöne bakar ve onu kaybederiz."
"", "Bir gülümseme, kalbinizin evde olduğunu göstermek için yüzünüzün penceresinde bir ışıktır."
"Byron Pulsifer", "Doğanın size sunduklarını yeniden görmeye başlayabileceğiniz bir zaman olarak baharı dört gözle bekleyin."
"Billy Wilder", "Kendi içgüdülerinize güvenin. Hatalarınız başkasının yerine sizin de hatalarınız olabilir."
"Blaise Pascal", "En küçük hareket tüm doğa için önemlidir. Tüm okyanus bir çakıl taşından etkilenir."
"Pablo Picasso", "Nasıl yapılacağını öğrenebilmek için her zaman yapamadığım şeyi yapıyorum."
"Niccolo Machiavelli", "İnsanlar genel olarak gerçeklikten çok görünüşe göre yargıda bulunurlar. Herkesin gözleri vardır, ama çok azı nüfuz etme yeteneğine sahiptir."
"", "Dünyada sadece biri olabilirsin, ama bir başkası için dünya olabilirsin."
"Henry Ward Beecher", "Her ressam fırçasını kendi ruhuna daldırır ve kendi doğasını resimlerine yansıtır."
"James Faust", "Her zorluğu adım adım, her adımda inançla atarsanız, gücünüz ve anlayışınız artacaktır."
"Denis Waitley", "Mutluluk seyahat edilemez, sahip olunamaz, kazanılamaz, giyilemez ya da tüketilemez. Mutluluk, her dakikayı sevgi, zarafet ve şükranla yaşamanın ruhani deneyimidir."
"Hasidik deyiş", "Herkes kalbinin onu hangi yöne çektiğini dikkatle gözlemlemeli ve sonra tüm gücüyle o yolu seçmelidir."
"Joseph Campbell", "Öncelikle kendimizi ve kendimizi korumayı düşünmeyi bıraktığımızda, gerçekten kahramanca bir bilinç dönüşümü yaşarız."
"Dhammapada", "Dikkatinizi başkalarının yaptıklarına ya da yapamadıklarına vermeyin; kendi yaptıklarınıza ya da yapamadıklarınıza verin."
"Peter Drucker", "Etkili eylemi sessiz düşünme ile takip edin. Sessiz düşünceden daha da etkili eylemler çıkacaktır."
"Bernice Reagon", "Hayatın zorlukları sizi felç etmemeli, kim olduğunuzu keşfetmenize yardımcı olmalıdır."
"Fannie Hamer", "Hareketimiz hakkında öğrenmeniz gereken bir şey var. Üç kişi hiç insan olmamasından iyidir."
"Ralph Waldo Emerson", "Mutluluk, kendinize birkaç damla sürmeden başkalarının üzerine dökemeyeceğiniz bir parfümdür."
"Byron Roberts", "En büyük güce sahip olan hata değil, hatadan ders alarak kendi niteliklerinizi geliştirmektir."
"Thich Nhat Hanh", "Sahip olduğunuz mutluluk miktarı, kalbinizde sahip olduğunuz özgürlük miktarına bağlıdır."
"Carl Jung", "Vizyonunuz ancak kalbinize baktığınızda netleşecektir. Dışarıya bakan, rüya görür. İçine bakan uyanır."
"Babatunde Olatunji", "Dün tarihtir. Yarın bir gizemdir. Peki ya bugün? Bugün bir armağandır. Bu yüzden ona şimdiki zaman diyoruz."
"Tony Robbins", "Başkalarıyla ve kendimizle iletişim kurma şeklimiz nihayetinde hayatımızın kalitesini belirler."
"Tony Blair", "Bazen kaybedip doğru olanı yapmak, kazanıp yanlış olanı yapmaktan daha iyidir."
"Rahibe Teresa", "Birbirimizi her zaman gülümseyerek karşılayalım, çünkü gülümseme sevginin başlangıcıdır."
"", "Yoldaki bir viraj yolun sonu değildir... eğer dönüşü yapmayı başaramazsanız."
"Aristoteles", "Tekrar tekrar yaptığımız şeyiz. O halde mükemmellik bir eylem değil, bir alışkanlıktır."
"Ray Bradbury", "Risk altında yaşamak, uçurumdan atlamak ve aşağı inerken kanatlarınızı inşa etmektir."
"Albert Camus", "Kışın derinliğinde, sonunda içimde yenilmez bir yaz olduğunu öğrendim."
"Madame de Stael", "Zekâ, farklı olan şeyler arasındaki benzerliği ve benzer olan şeyler arasındaki farkı fark etmekte yatar."
"Elbert Hubbard", "Başarısızlık, hata yapan ama bu deneyimden para kazanamayan bir adamdır."
"Herbert Swope", "Size başarının formülünü veremem, ama başarısızlığın formülünü verebilirim: O da şudur: Herkesi memnun etmeye çalışın."
"", "Soru soran kişi beş dakikalığına aptaldır; soru sormayan kişi sonsuza dek aptal kalır."
"Laozi", "Sezgisel anlayışın gücü sizi günlerinizin sonuna kadar zarardan koruyacaktır."
"Abraham Lincoln", "Gelecekle ilgili en iyi şey, her seferinde sadece bir gün gelmesidir."
"Epictetus", "Konuştuğumuzdan iki kat daha fazla dinleyebilmek için iki kulağımız ve bir ağzımız vardır."
"Byron Pulsifer", "Başarısızlık korkusu, sizi hayatınızda aynı noktada tutacak bir tutumdur."
"Ed Cunningham", "Arkadaşlar, nasıl olduğumuzu soran ve sonra cevabı duymak için bekleyen nadir insanlardır."
"Pema Chodron", "Eğer kalbimizi açmayı öğrenirsek, bizi çıldırtan insanlar da dahil olmak üzere herkes öğretmenimiz olabilir."
"Eleanor Roosevelt", "İnsanlar hayatı dürüstçe ve cesaretle karşılarlarsa deneyim yoluyla büyürler. Karakter bu şekilde inşa edilir."
"Ralph Waldo Emerson", "Bir kahraman sıradan bir insandan daha cesur değildir, ama beş dakika daha cesurdur."
"Angela Schwindt", "Biz çocuklarımıza hayat hakkında her şeyi öğretmeye çalışırken, çocuklarımız bize hayatın ne hakkında olduğunu öğretir."
"Wayne Dyer", "Dans ederken amacınız pistte belli bir yere varmak değildir. Yol boyunca attığınız her adımdan keyif almaktır."
"Dalai Lama", "Gerçek sevgi önce kişinin kendisine yönelik olmalıdır, eğer kendimizi sevmezsek başkalarını nasıl sevebiliriz?"
"Orison Marden", "Yaratıcı size yapma yeteneğiniz olmayan bir şeyi yapma arzusu vermemiştir."
"Sam Levenson", "Bilge olmak çok basittir. Sadece söyleyecek aptalca bir şey düşünün ve sonra onu söylemeyin."
"Dalai Lama", "Olumsuz düşünce ve duyguların sadece huzur deneyimimizi yok etmekle kalmadığını, aynı zamanda sağlığımıza da zarar verdiğini düşünün."
"Doris Mortman", "Kim olduğunuzla barışana kadar, sahip olduklarınızdan asla memnun olmayacaksınız."
"Buddha", "Bizi kendimizden başka kimse kurtaramaz. Kimse kurtaramaz ve kurtaramaz. Yolu kendimiz yürümeliyiz."
"Henry Miller", "İnsan herhangi bir şeye dikkatini verdiği anda, o şey kendi içinde gizemli, müthiş, tarif edilemez derecede muhteşem bir dünya haline gelir."
"Mohandas Gandhi", "Mutluluk, düşündükleriniz, söyledikleriniz ve yaptıklarınızın uyum içinde olmasıdır."
"Dalai Lama", "Güvensizliğin ve korku duygusunun en büyük panzehiri şefkattir, kişiyi içsel gücünün temeline geri döndürür"
"", "Cesaret, kazanamayacağınızı keşfetmek ve kaybedebileceğinizi bildiğiniz halde denemektir."
"Byron Pulsifer", "Düşünceli ve nazik olmak, kaba bir hareketin neden olduğu sonsuz acıya kıyasla sadece birkaç saniye sürer."
"Mortimer Adler", "Öğrenmenin amacı büyümektir ve bedenlerimizden farklı olarak zihinlerimiz biz yaşamaya devam ettikçe büyümeye devam edebilir."
"Buddha", "Her şeyin ne kadar mükemmel olduğunu fark ettiğinizde başınızı geriye doğru eğecek ve gökyüzüne güleceksiniz."
"Mary Kay Ash", "Her başarısızlık için alternatif bir hareket tarzı vardır. Sadece onu bulmanız gerekir. Bir barikata geldiğinizde, dolambaçlı yoldan gidin."
"Walter Linn", "Bir insanın mecbur kaldığında neler yapabileceği ve çoğu insanın mecbur kalmadığında ne kadar az şey yapacağı şaşırtıcıdır."
"Tenzin Gyatso", "İnsanın kendisindeki tek bir eksikliğin farkında olması, bir başkasındaki binlerce eksikliğin farkında olmasından daha yararlıdır."
"Edmund Burke", "Hiç kimse, çok az şey yapabildiği için hiçbir şey yapmayandan daha büyük bir hata yapmamıştır."
"Albert Schweitzer", "Sürekli nezaket çok şey başarabilir. Güneşin buzu eritmesi gibi, nezaket de yanlış anlama, güvensizlik ve düşmanlığın buharlaşmasına neden olur."
"Rene Descartes", "En büyük zihinler, en büyük erdemleri olduğu kadar en büyük kötülükleri de yapabilirler."
"Albert Einstein", "İnsan olması gerekeni değil, olanı aramalıdır."
"William Channing", "Zorluklar cesaret kırmak için değil, uyandırmak içindir. İnsan ruhu çatışmayla güçlenir."
"Byron Pulsifer", "Kendi değerlerinize saygınız yoksa, başkalarının saygısına nasıl layık olabilirsiniz?"
"Alphonse Karr", "Bazı insanlar güllerin dikenleri olduğu için sürekli homurdanır; ben dikenlerin gülleri olduğu için minnettarım."
"W. H. Auden", "Her gün zor olanı kolaymış gibi seçmek, işte inanç budur."
"Lou Holtz", "Yetenek, yapabileceklerinizdir. Motivasyon ne yaptığınızı, tutum ise ne kadar iyi yaptığınızı belirler."
"Thomas Carlyle", "Hatalarınızdan utanmayın. Hiçbir şey bize onları anlamamızdan daha iyi bir şey öğretemez. Bu, kendi kendini eğitmenin en iyi yollarından biridir."
"Buddha", "Tek bir mumdan binlerce mum yakılabilir ve mumun ömrü kısalmaz. Mutluluk paylaşıldıkça asla azalmaz."
"Michel de Montaigne", "Başkaları için ne olduğumdan çok, kendim için ne olduğuma önem veririm. Borç alarak değil, kendim zengin olacağım."
"Margaret Laurence", "Bilin ki her ne kadar ebedi düzende küçük olsanız da, dünyanın her yerindeki tüm insan kardeşleriniz gibi siz de eşsiz ve yeri doldurulamazsınız."
"Napoleon Bonaparte", "Yapabildiğin her şeyi yapmak, insan olmaktır; yapmak istediğin her şeyi yapmak ise tanrı olmaktır."
"Ajahn Chah", "Eğer biraz bırakırsanız, biraz huzur bulursunuz. Eğer çok bırakırsanız, çok huzurlu olursunuz."
